customer_id,full_name,total_spent,transaction_count,days_since_registration,avg_order_value
CUST0189,Benjamin Cruz,5143279.28,35,159,15171.915280235988
CUST0366,Michelle Olson,5129332.15,45,420,13118.496547314578
CUST0682,Teresa Owens,5093224.83,34,303,15817.468416149068
CUST0633,John Lynch,5082522.54,38,633,18151.866214285714
CUST0799,Mckenzie Solomon,5079108.8,46,308,14227.195518207283
CUST0249,Johnathan Gilbert,5057968.41,49,600,16263.564019292606
CUST0776,Adam Jones,5051703.93,49,597,12566.427686567164
CUST0203,Jacob Jones,5046314.28,41,718,14255.125084745763
CUST0121,Leonard Taylor,5028148.9,52,516,13444.248395721925
CUST0561,Jeanette Nichols,5019649.15,52,280,13640.350951086957
CUST0027,John Marshall,4995683.11,31,326,16167.25925566343
CUST0917,Rebecca Rivera,4994101.61,57,543,14187.788664772726
CUST0975,Angela Cohen,4992390.72,42,526,12176.562731707318
CUST0621,Paul Pitts,4983523.63,51,273,11979.624110576922
CUST0941,Maria Williams,4971018.92,51,283,15248.524294478528
CUST0043,Alyssa Mcintyre,4966303.57,45,25,14230.096189111748
CUST0130,David Howard,4956840.56,45,213,13923.709438202248
CUST0680,Natasha Avila,4923590.32,37,132,18792.329465648854
CUST0285,Traci Patterson,4886068.05,43,628,17265.258127208483
CUST0412,Julia Adkins,4882443.92,42,725,15210.105669781931
CUST0874,Margaret Salinas,4865295.9,45,455,13366.197527472526
CUST0096,Jennifer Phillips,4844887.44,43,26,11372.975211267605
CUST0157,Omar Kelley,4829768.04,52,526,14122.128771929825
CUST0629,John Wolfe,4825775.21,43,546,16414.201394557822
CUST0524,Holly Carroll,4823934.83,43,318,13626.934548022598
CUST0905,Michelle Cain,4804175.0,38,472,14873.606811145512
CUST0768,Mary Powell,4801323.8,31,72,17459.359272727273
CUST0555,Bobby Rodriguez,4799560.69,44,313,15383.20733974359
CUST0092,Lisa Dennis,4784964.38,50,326,15142.292341772152
CUST0503,Michael Cox,4776370.36,47,221,11426.723349282296
CUST0899,Wendy Smith,4759329.52,53,158,11385.955789473684
CUST0973,Maxwell Stephens,4751563.22,42,59,10374.592183406114
CUST0394,Diana Gonzales,4750278.8,53,444,11310.18761904762
CUST0069,Sergio Acosta,4742915.41,50,640,12068.487048346056
CUST0337,Joanne Chambers,4734696.53,51,113,13763.652703488371
CUST0948,Kimberly Morrison,4712203.16,46,114,15103.215256410256
CUST0969,Katherine Pearson,4711318.88,51,250,11271.097799043062
CUST0455,Craig Chapman,4702930.47,40,724,14080.630149700599
CUST0978,Dwayne Edwards,4700238.9,29,674,20259.650431034483
CUST0136,Amber Thompson,4694353.71,39,62,14855.549715189873
CUST0536,Lee Castaneda,4678943.74,53,645,11756.140050251255
CUST0093,Ivan Medina,4668691.16,47,555,13225.753994334278
CUST0490,Ray Hall,4668337.64,33,671,17750.333231939163
CUST0585,Jessica Smith,4664805.08,34,43,15497.691295681063
CUST0055,Steve Miller,4634576.27,48,413,12458.538360215054
CUST0142,Colleen Castillo,4622379.47,40,375,15616.146858108108
CUST0757,Alexis Wells,4620685.32,50,634,13510.775789473684
CUST0946,Ann Griffin,4606218.54,41,405,14622.916
CUST0385,Joel Lopez,4601741.1,42,453,13494.841935483872
CUST0909,Karen Crawford,4588689.88,43,205,13300.550376811594
CUST0970,Gavin Crawford,4572734.8,38,356,13690.822754491019
CUST0533,Kathryn Smith,4572496.9,39,420,13649.24447761194
CUST0509,Debbie Taylor,4566516.95,36,524,16727.168315018316
CUST0944,Danny Day,4566282.36,44,63,11531.016060606062
CUST0270,Christopher Myers,4554690.87,55,352,12722.600195530726
CUST0582,Melanie Wright,4553396.38,47,172,12613.286371191136
CUST0153,Melissa Ruiz,4533046.47,47,632,14210.177021943575
CUST0485,Carolyn Mcdaniel,4485222.08,39,432,12288.279671232876
CUST0690,Patricia Taylor,4485218.47,49,290,13886.125294117646
CUST0859,David Kennedy,4475359.7,42,445,14673.310491803279
CUST0587,Daniel Martinez,4473384.93,48,498,12744.68641025641
CUST0362,Nicole Jenkins,4470929.37,39,18,15967.604892857144
CUST0833,Chelsea Reed,4464344.83,37,561,15775.070070671378
CUST0819,Traci Lopez,4460462.25,59,118,11378.730229591836
CUST0685,Tyler Daniel,4457928.75,50,291,12081.107723577235
CUST0341,Anita Phillips,4452438.56,47,257,14455.969350649351
CUST0340,April Young,4451841.12,45,457,11533.267150259067
CUST0974,Larry Orozco,4449287.63,39,235,14398.989093851133
CUST0030,Justin Mendoza,4449280.14,45,6,12324.875734072022
CUST0458,Laura Garcia,4434646.45,41,174,15344.79740484429
CUST0087,Bryan Wilson,4423991.07,39,186,13487.777652439025
CUST0248,Taylor Hunt,4406231.71,49,310,13352.217303030304
CUST0207,Deanna Miles,4399971.42,39,471,12790.614593023256
CUST0581,Julia Rubio,4376114.34,40,613,15855.486739130434
CUST0184,Stacey Robinson,4352516.0,42,203,10908.561403508773
CUST0276,Linda Roberts,4344989.54,32,668,17807.334180327867
CUST0515,Raymond White,4341685.56,48,568,12404.815885714286
CUST0398,Hunter Smith,4339665.45,40,662,21066.33713592233
CUST0673,Lauren Allen,4337300.97,40,543,14082.146006493505
CUST0208,Tracy Knight,4333458.53,47,516,12935.697104477613
CUST0789,Jeffery Walker,4328777.29,52,555,12403.373323782234
CUST0840,Charles Miranda,4323132.95,36,597,16131.093097014926
CUST0647,Elizabeth Powers,4317904.63,39,448,11607.270510752687
CUST0119,Christopher Davis,4315094.87,35,135,14288.393609271523
CUST0586,Linda Gentry,4314490.57,40,204,12802.642640949554
CUST0501,Charlotte Barker,4313455.36,44,61,11031.855140664962
CUST0357,Jessica Ellis,4308917.4,41,5,13855.039871382636
CUST0993,Sheila Perry,4306800.48,40,456,12817.858571428571
CUST0940,Brianna King,4305637.82,36,156,18167.248185654007
CUST0686,Matthew Johnson,4304919.0,52,557,13410.96261682243
CUST0672,Mary Wallace,4304512.36,43,565,11825.583406593407
CUST0118,Allen Noble,4304414.3,41,254,14348.047666666667
CUST0307,Trevor Singleton,4294870.0,47,306,11392.228116710876
CUST0666,James Rodriguez,4286684.31,38,82,14482.041587837837
CUST0855,Jamie Quinn,4281316.2,41,725,11296.348812664908
CUST0004,Hailey Robinson,4280033.9,47,539,13806.560967741934
CUST0729,Julie Lewis,4270219.06,38,174,12823.480660660662
CUST0028,Shane Smith,4269900.94,33,219,19768.059907407405
CUST0041,Sierra Huerta,4258981.83,44,716,13024.409266055047
CUST0163,Julie Smith,4257293.86,52,467,11958.690617977529
CUST0122,Allison Levine,4243924.02,43,541,13914.504983606557
CUST0334,Susan Flores,4230341.7,39,729,12121.322922636104
CUST0090,Victoria Reyes,4230328.75,42,17,12333.319970845481
CUST0465,Michael Rios,4221320.66,39,371,11924.634632768362
CUST0780,Ruben Lee,4219819.53,32,148,13880.985296052631
CUST0827,Thomas Richards,4217780.12,49,131,11982.329886363636
CUST0912,Amy Nunez,4211852.64,47,92,12724.630332326284
CUST0677,Zachary Moreno,4189195.1,44,132,11291.630997304583
CUST0922,Kimberly Green,4189066.25,44,37,14545.368923611111
CUST0430,Travis Johnson,4187919.84,44,725,12729.239635258358
CUST0662,Julie Simon,4175730.85,39,627,12245.545014662757
CUST0387,Dustin Yates,4171495.33,33,346,16553.552896825397
CUST0417,Connor Smith,4166317.99,36,667,13268.528630573248
CUST0626,Andrew Silva,4163766.57,52,553,12655.825440729483
CUST0105,Meagan James,4148846.89,39,195,14063.887762711864
CUST0321,Michael Johnson,4145388.04,45,445,12599.963647416413
CUST0712,Kristopher Hanson,4138495.28,45,152,13703.626754966886
CUST0452,Elizabeth Ford,4135462.58,50,644,14929.467797833935
CUST0068,Matthew Lopez,4134117.44,44,658,12527.628606060605
CUST0025,Gary Lawson,4132668.23,49,223,9910.475371702638
CUST0845,Jennifer Robinson,4128347.65,46,613,13403.726136363635
CUST0169,Robert French,4123770.28,39,517,13259.71151125402
CUST0766,Nicolas Williams,4119159.83,42,594,12444.59163141994
CUST0998,Renee Velasquez,4119108.42,37,583,11870.629452449568
CUST0460,Dawn Crawford,4118020.79,42,420,14102.810924657533
CUST0313,Andrew Foster,4117526.15,46,144,14972.822363636364
CUST0420,Jason Figueroa,4087803.83,51,10,10093.342790123457
CUST0182,Nicole Gonzales,4087202.65,36,429,9848.68108433735
CUST0893,Earl Foley,4078335.49,48,176,12988.329585987261
CUST0828,Michele Lin,4078005.08,44,542,11585.241704545455
CUST0302,Jeremy Davis,4077633.8,46,40,11717.338505747126
CUST0286,James Anthony,4064556.72,40,359,17827.00315789474
CUST0826,Elizabeth Patel,4061548.92,41,176,11875.87403508772
CUST0601,Randy Hernandez,4060103.98,40,488,12192.504444444445
CUST0311,Alicia Roberts,4059537.37,41,357,10516.936191709845
CUST0429,James Pittman,4057013.31,35,629,12146.746437125748
CUST0814,Lisa Ewing,4049286.17,45,123,10277.376065989847
CUST0562,Thomas Mccarthy,4047643.95,36,12,12378.116055045872
CUST0235,Paula Ford,4042082.79,32,118,16233.26421686747
CUST1000,John Smith,4035658.77,37,440,13145.468306188925
CUST0591,Steven Nolan,4029918.8,38,154,13896.27172413793
CUST0790,Juan Gregory,4027526.06,37,610,16174.80345381526
CUST0112,Kevin White,4017362.63,50,375,10684.475079787235
CUST0980,Richard Rivera,4011833.34,48,638,12695.675126582279
CUST0067,Benjamin Harris,4010652.81,43,523,11426.361282051283
CUST0717,Natalie Ware,4008986.66,42,269,12259.898042813456
CUST0239,John Jones,3998319.92,37,446,14645.860512820513
CUST0437,Cheryl Long,3994130.85,50,103,9181.91
CUST0984,Carla Jennings,3993810.47,35,24,11957.516377245509
CUST0397,Christina Davis,3986951.69,50,360,12192.512813455656
CUST0589,Carolyn Hunter,3965282.64,46,481,12709.239230769232
CUST0303,Jeffrey Harris,3948204.16,41,153,11121.70185915493
CUST0820,Kayla Murphy,3947971.89,53,644,14514.602536764705
CUST0987,Brian Sharp,3943722.97,45,418,10488.624920212766
CUST0151,Danielle Hensley,3935563.5,46,543,12695.366129032258
CUST0322,Julia Blankenship,3928273.8,44,84,14232.876086956521
CUST0404,Jonathan Sims,3926191.47,34,463,15960.127926829267
CUST0654,Gregory Drake,3922158.99,38,383,16410.707071129706
CUST0011,Tanya Riley,3917840.48,45,30,11591.24402366864
CUST0592,Matthew Smith,3914051.48,46,474,11247.274367816091
CUST0232,Heather Salazar,3913908.05,43,348,11344.661014492754
CUST0463,Debra Reynolds,3904141.55,51,224,11283.646098265895
CUST0166,Dale Sandoval,3903543.93,34,431,12551.588199356913
CUST0346,Gregory Smith,3899367.3,46,45,12826.866118421052
CUST0131,Melissa Hawkins,3893868.67,42,588,11588.894851190476
CUST0081,Edward Vaughn,3892090.89,35,66,12845.184455445546
CUST0274,Jessica Nielsen,3889633.49,48,692,16274.61711297071
CUST0266,Patricia Vargas,3886621.86,53,382,10147.837754569191
CUST0716,Kristin Skinner,3865019.42,56,619,10676.849226519336
CUST0989,Jay Jefferson,3851360.54,35,597,11960.74701863354
CUST0838,John Grant,3851146.34,40,236,13234.179862542955
CUST0495,Joshua Hoover,3846070.64,44,602,13354.411944444444
CUST0245,Amy Bates,3843010.12,39,205,12477.305584415584
CUST0488,Diana Anderson,3836059.11,36,125,13848.588844765343
CUST0472,Michael Jones,3830161.16,41,714,11265.17988235294
CUST0297,Selena Robinson,3828680.83,46,221,12512.02885620915
CUST0981,Brittany Mcneil,3824500.52,40,229,11840.558885448916
CUST0994,Madison Bowman,3818388.97,58,425,10725.811713483146
CUST0890,Stacy Wilcox,3814076.62,43,608,12713.588733333332
CUST0350,Angel Alexander,3812944.02,34,469,12299.819419354839
CUST0354,Patricia Davis,3807752.76,34,525,19427.31
CUST0979,Nancy Tucker,3803249.45,50,679,12892.371016949153
CUST0017,Sheila Wilson,3796766.84,54,75,10097.78414893617
CUST0760,Lisa Miller,3783377.09,43,133,13228.591223776224
CUST0869,Marissa Sutton,3781495.19,39,306,16023.28470338983
CUST0438,Miranda Green,3779392.37,40,56,12074.736006389776
CUST0288,Matthew Heath,3778900.79,40,706,20877.90491712707
CUST0829,Jeffrey Weaver,3777501.38,43,518,14813.730901960784
CUST0114,Kendra Simpson,3777307.71,34,93,13253.711263157895
CUST0133,Austin Harvey,3775536.55,43,426,14521.294423076923
CUST0229,Brett Parker,3770431.63,38,288,13514.091863799284
CUST0898,Denise Palmer,3762465.19,36,71,15049.86076
CUST0481,Samantha Moran,3759937.06,44,188,11257.296586826347
CUST0615,Kimberly Roman,3759883.16,39,142,11223.531820895521
CUST0146,Ashley Kennedy,3759217.83,51,696,10442.27175
CUST0635,Andrew Freeman,3756285.13,40,377,12117.048806451612
CUST0267,David Phillips,3752348.97,44,155,10224.384114441416
CUST0034,Lisa Costa,3744625.55,43,668,12079.437258064516
CUST0457,Henry Erickson,3742657.74,44,662,10848.283304347826
CUST0812,Jacob Lawson,3740524.13,42,443,13751.926948529412
CUST0434,Ruben Lopez,3737111.88,39,209,13066.824755244756
CUST0953,Kathy Gardner,3731625.46,42,43,12275.08375
CUST0201,Cynthia Elliott,3719519.08,49,732,8877.1338424821
CUST0914,Charles Castillo,3718974.13,35,279,13094.979330985914
CUST0103,William Garcia,3717142.23,43,449,11402.276779141104
CUST0291,Diane Henderson,3716194.14,34,227,13712.893505535056
CUST0570,Joanna Warren,3700298.39,38,211,12053.089218241043
CUST0651,Jonathan Baker,3698858.57,47,366,11558.93303125
CUST0843,Janet Moore,3698596.13,36,335,14009.833825757576
CUST0876,Kelly Long,3698064.92,41,433,12164.687236842105
CUST0077,Larry Hines,3691036.26,52,696,10545.817885714287
CUST0392,Jason Rojas,3678836.09,50,728,10451.238892045454
CUST0997,Julie Hester,3669727.8,38,566,16237.733628318583
CUST0688,Abigail Harris,3668996.34,37,76,11537.724339622642
CUST0583,Ashley Blackwell,3664830.31,41,30,12949.930424028269
CUST0106,Sarah Gonzalez,3648640.66,43,631,10514.814582132565
CUST0743,Tara Reilly,3645768.42,52,413,9800.452741935484
CUST0099,Kevin Clayton,3632626.24,45,672,15862.996681222707
CUST0996,Joshua Osborn,3632524.73,48,99,8774.214323671498
CUST0124,Chelsea Parker,3630857.79,39,184,9839.72300813008
CUST0140,Katherine Perez,3627204.73,38,333,11335.01478125
CUST0781,Sean Wallace,3626725.06,34,199,11813.43667752443
CUST0349,Selena Brooks,3625627.19,49,358,10478.691300578035
CUST0449,Kristen Shaw,3611968.18,35,139,12541.556180555555
CUST0983,Heather Frost,3610468.63,41,273,12536.349409722223
CUST0904,Scott Chase,3610045.3,32,20,11875.149013157896
CUST0221,Ann Marquez,3605453.24,41,473,14960.386887966804
CUST0605,David Fields,3603494.84,41,198,14186.987559055118
CUST0116,Samantha Riddle,3599035.55,50,677,12036.908193979933
CUST0185,James Heath,3596652.68,41,73,11454.307898089171
CUST0175,Susan Thomas,3595319.69,48,579,10331.37841954023
CUST0842,Ryan Ford,3592582.28,41,662,11664.228181818182
CUST0786,Michael Wolf,3587774.52,53,435,9966.040333333332
CUST0013,David Bailey,3583093.57,45,51,10825.056102719032
CUST0138,Jessica Rush,3570966.52,49,630,8709.67443902439
CUST0406,David Carrillo,3569757.54,32,508,17162.295865384614
CUST0511,Wayne Norman,3568212.25,36,588,13938.3291015625
CUST0795,Diana Simon,3567757.31,51,17,10222.800315186247
CUST0098,Joshua Madden,3566809.8,35,137,14098.062450592884
CUST0972,Charles Ruiz,3564307.36,42,537,11881.024533333333
CUST0534,Daniel Sanchez,3560511.51,50,531,9781.625027472528
CUST0423,Jennifer Mcneil,3556389.62,48,575,8487.80338902148
CUST0492,Nicholas Sherman,3554493.94,46,275,10547.459762611275
CUST0029,Jacob Robinson,3552424.45,40,532,14041.203359683794
CUST0154,Kimberly Freeman,3551546.17,32,269,12505.44426056338
CUST0141,Pamela Moore,3550816.46,38,662,15109.857276595745
CUST0260,Joshua Todd,3547566.08,35,164,15291.233103448276
CUST0784,Gina Chapman,3546307.26,37,52,13852.762734375
CUST0734,Mary King,3544536.33,44,404,11470.9913592233
CUST0176,Danny Lambert,3536771.41,43,202,10311.28690962099
CUST0305,Harry Jackson,3528729.1,42,95,13468.431679389312
CUST0770,Angela Gray,3522513.71,40,387,12491.183368794325
CUST0456,Albert Moore,3515159.8,38,159,12644.459712230217
CUST0217,David Taylor,3513108.05,45,680,11012.87789968652
CUST0516,Mark Price,3512737.9,38,343,12635.74784172662
CUST0694,Richard Hines,3510164.49,38,272,13397.574389312977
CUST0444,George Maldonado,3506343.71,41,20,12843.749853479852
CUST0238,Larry Lane,3506219.48,41,649,12007.60095890411
CUST0520,Wesley Miller,3506167.74,43,716,9083.336113989637
CUST0442,Ryan Cook,3505380.91,50,353,10279.709413489736
CUST0497,John Long,3504837.01,45,374,12838.230805860807
CUST0852,Tyler Navarro,3496529.27,41,631,12056.997482758621
CUST0158,Benjamin Crawford,3495827.76,36,38,11730.965637583893
CUST0886,Matthew Yates,3479105.47,50,615,10607.02887195122
CUST0805,Barbara Sanders,3478816.67,41,451,15530.4315625
CUST0738,Courtney Johnson,3478202.48,43,185,16884.478058252425
CUST0713,James Robinson,3472332.85,43,110,10035.64407514451
CUST0892,Richard Mclaughlin,3472149.11,51,42,11309.931954397394
CUST0222,Sherry Avery,3463747.01,37,557,12641.412445255473
CUST0705,Ashley Novak,3461848.49,43,640,11167.253193548388
CUST0787,Brian Payne,3461364.58,33,308,14303.159421487602
CUST0319,Lauren Estes,3458510.52,38,215,12307.866619217082
CUST0695,Ashley Hooper,3455036.37,35,383,11913.918517241378
CUST0632,Amanda Maxwell,3449922.43,45,357,9298.982291105121
CUST0540,Roger Nelson,3449830.58,41,697,12147.290774647887
CUST0373,Raymond Bishop,3449535.96,48,402,10646.715925925926
CUST0895,Marie Nunez,3438650.64,40,449,12150.708975265017
CUST0381,Hayden Williams,3413026.25,41,165,9835.810518731989
CUST0282,Daniel Mcguire,3411919.27,47,242,9373.404587912088
CUST0062,Tammy Mueller,3408809.76,41,135,13635.23904
CUST0664,Brenda Bailey,3403907.91,40,261,10840.471050955413
CUST0475,John Oconnor,3388874.43,44,165,9996.679734513275
CUST0424,Peggy Shaw,3385343.23,46,55,10850.459070512821
CUST0851,Margaret Jackson,3378428.3,39,61,11649.75275862069
CUST0436,Patrick Ray,3374629.7,42,389,12271.380727272726
CUST0547,Jacob Kane,3371247.1,38,253,14851.308810572687
CUST0143,Bradley Gonzales,3366783.81,36,118,13912.32979338843
CUST0165,Matthew Sherman,3365550.59,41,328,11408.64606779661
CUST0091,Michael Hill,3360084.15,35,191,12130.267689530687
CUST0494,Alejandro Butler,3354106.54,34,663,12108.687870036101
CUST0643,Matthew Harper,3353690.55,45,77,11407.110714285714
CUST0811,Patricia Morrison,3351522.0,41,420,11134.624584717609
CUST0617,Jacob Gonzalez,3349189.24,42,513,12638.44996226415
CUST0809,Gregory Anderson,3343167.03,38,346,13110.458941176472
CUST0537,Ariel Forbes,3334791.24,37,313,13667.177213114754
CUST0995,Richard Ballard,3332029.42,47,350,11985.717338129496
CUST0205,John Wise,3331445.32,35,188,10034.473855421687
CUST0329,James Montgomery,3329221.73,33,532,13929.798033472804
CUST0331,Gary Mendez,3322556.41,38,557,10068.352757575758
CUST0935,Patrick Merritt,3313211.18,44,502,10289.475714285714
CUST0320,Scott Perry,3313128.78,35,157,10585.075974440895
CUST0751,Mary Dean,3311934.96,40,52,10858.803147540984
CUST0671,Megan Fisher,3303680.46,33,211,12101.393626373627
CUST0660,Lisa Ruiz,3301344.58,41,418,13365.767530364372
CUST0265,Stephen Jackson,3299960.02,45,121,10442.911455696203
CUST0089,Lindsey Chavez,3297117.4,39,423,12779.52480620155
CUST0844,Brian Parker,3296719.96,43,165,9811.666547619048
CUST0480,Karen Middleton,3291912.67,52,124,10191.680092879256
CUST0668,Samantha Ortiz,3283620.91,33,385,15562.184407582938
CUST0039,Michele James,3283236.85,36,72,11479.849125874125
CUST0880,Shawn Beasley,3282871.79,37,40,12249.521604477612
CUST0704,Nicholas Thomas,3278662.98,41,436,9671.572212389381
CUST0976,Brian Lee,3273985.56,43,296,11948.852408759123
CUST0001,Donald Garcia,3266844.12,50,571,9441.746011560694
CUST0145,Mark Hill,3266651.51,40,321,11342.539965277778
CUST0047,Michele Thomas,3257689.38,44,721,9388.153832853026
CUST0421,Rodney King,3256880.15,26,243,20229.069254658385
CUST0856,Frank Taylor,3246337.49,49,352,11272.00517361111
CUST0206,Joel Hamilton,3245591.14,35,461,12155.772059925093
CUST0399,Nathan Santos,3236461.54,47,217,9958.3432
CUST0793,Kara Vaughn,3234210.16,38,332,11934.354833948339
CUST0698,Melvin Peters,3229427.88,41,442,10029.279130434783
CUST0174,Bryan Reese,3229105.39,37,454,11657.420180505414
CUST0109,Adriana Bailey,3228836.97,30,238,16473.658010204083
CUST0700,Louis Mcdonald,3226686.87,39,539,12362.784942528737
CUST0619,Ashlee Wright,3225900.17,54,289,10018.32350931677
CUST0441,Frank Parker,3222106.19,28,712,18307.42153409091
CUST0150,Jennifer Fletcher,3221546.1,54,359,10004.80155279503
CUST0257,Austin Johnson,3214682.58,41,705,11522.159784946238
CUST0848,Angela Martin,3208696.21,27,603,15135.359481132075
CUST0183,Martha Johnson,3206072.3,41,611,10546.290460526316
CUST0800,Cassandra Lopez,3205498.82,39,638,13356.245083333333
CUST0896,Jennifer Sanchez,3203142.07,37,623,11733.121135531135
CUST0877,Lisa Vega,3199423.4,46,127,9905.33560371517
CUST0938,Sherri Martin,3198814.3,53,21,10487.915737704918
CUST0414,Dan Cox,3189503.81,43,557,11391.085035714286
CUST0061,Kenneth French,3185680.09,39,432,11459.280899280577
CUST0956,Dwayne Savage,3183526.48,28,657,14405.097194570137
CUST0466,John Orozco,3182429.19,49,190,10366.218859934854
CUST0650,Kelly Shea,3178527.17,34,122,13134.40979338843
CUST0192,Darren Jones,3176349.28,46,677,8584.727783783785
CUST0982,Madison Costa,3174655.81,40,249,11023.11045138889
CUST0836,John Lopez,3173435.21,45,560,9675.107347560976
CUST0558,James Collins,3170709.03,42,209,14412.313772727273
CUST0957,Mark Gonzalez,3168027.73,39,357,12423.638156862746
CUST0600,Timothy Williams,3166714.57,40,703,11269.446868327403
CUST0683,Jennifer Cobb,3166015.48,41,436,11069.984195804196
CUST0289,Paul Gallagher,3161758.14,50,540,11886.308796992482
CUST0889,Lauren Wells,3160312.54,44,58,9664.564342507645
CUST0489,Joseph Douglas,3157058.14,49,720,11649.661033210332
CUST0730,Michelle Ray,3154472.34,38,209,8525.600918918919
CUST0853,Emily Fuller,3148976.16,35,173,13631.931428571428
CUST0038,Janet Shepherd,3148694.85,34,433,11205.31975088968
CUST0891,Timothy Patterson,3147013.64,35,412,12011.502442748091
CUST0470,Mary Abbott,3145883.12,37,530,13501.644291845494
CUST0075,Anthony Small,3143900.28,50,411,10274.183921568627
CUST0086,Margaret Robertson,3142580.55,41,560,11858.794528301887
CUST0084,Richard Donovan,3141107.46,41,50,11258.449677419356
CUST0228,Heather Meadows,3139591.07,36,330,11937.608631178708
CUST0676,Elizabeth Fernandez,3136173.89,40,391,9987.814936305733
CUST0735,Zachary Burnett,3129243.48,29,401,10465.697257525084
CUST0172,Leah Griffin,3128000.43,46,578,12030.770884615386
CUST0552,Kathleen Smith,3127322.25,45,337,11982.077586206897
CUST0225,Melissa Henry,3124102.94,51,179,10379.079534883722
CUST0955,Justin Hampton,3116343.8,43,464,12616.776518218623
CUST0360,Carly Williams,3113799.6,38,32,10209.179016393444
CUST0268,Antonio Simmons,3112593.19,45,465,8944.233304597701
CUST0370,Tammy Barrett,3112008.89,40,136,10408.056488294314
CUST0018,Samantha Hanson,3110186.23,44,436,10264.64102310231
CUST0575,Jennifer Johnson,3108236.17,33,433,8755.594845070422
CUST0213,John Gardner,3104058.42,40,728,15756.641725888325
CUST0178,Kim Tucker,3101041.27,40,80,12554.822955465586
CUST0408,Edward Patterson,3098589.46,42,103,12595.892113821137
CUST0219,Misty Wilkins,3094235.57,41,333,11993.161124031009
CUST0450,Erika Morris,3083031.0,42,515,10704.96875
CUST0731,David Hill,3079309.84,36,9,8823.237363896847
CUST0230,Carol Sanchez,3072294.24,38,626,9281.855709969788
CUST0718,Patrick Willis,3064799.14,39,114,11309.221918819188
CUST0333,Shannon Smith,3063826.76,32,699,10246.912240802676
CUST0462,Jose Cook,3061270.6,42,295,12755.294166666667
CUST0803,Allison Sullivan,3059433.95,36,40,12237.7358
CUST0639,Ronald Carroll,3059254.11,39,56,11004.51118705036
CUST0259,George Garza,3045623.64,41,495,12231.420240963855
CUST0691,Savannah Espinoza,3042875.12,41,667,12626.03784232365
CUST0464,Michael Cooper,3037810.07,39,94,12007.15442687747
CUST0293,Denise Turner,3037491.95,49,311,13036.446137339057
CUST0785,Susan Howell,3037098.84,40,680,9344.919507692308
CUST0546,Terri Barnett,3032391.92,37,628,10384.903835616438
CUST0513,Cody Acosta,3032162.03,49,705,9416.652267080746
CUST0469,Ashley Carroll,3031866.84,43,704,11661.026307692307
CUST0284,Roger Palmer,3031702.63,47,648,8969.534408284024
CUST0878,Joseph Tucker,3024066.73,42,300,9630.78576433121
CUST0902,Vanessa Christian,3009519.96,34,543,10672.056595744682
CUST0791,Stephen Gomez,3005119.99,37,666,10927.709054545456
CUST0191,Richard Rodriguez,3003333.75,41,26,12061.581325301206
