customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0060,Daniel,Black,laura84@example.net,242-428-3468,2024-12-31,West Melissa,Oklahoma,India,36-45
CUST0061,Adam,Larsen,yhuerta@example.com,333-931-1005x7177,2023-02-08,Wilsonmouth,Wisconsin,India,60+
CUST0062,Jennifer,Stephens,william64@example.net,885-970-1269x7376,2024-03-15,Port Jason,South Dakota,India,36-45
CUST0063,Jacqueline,Wolfe,tjoseph@example.org,+1-205-542-4178,2023-06-25,North Matthew,Colorado,India,18-25
CUST0064,Nicole,Soto,ryan48@example.com,001-827-703-2426,2024-01-02,Farleytown,Rhode Island,India,26-35
CUST0065,Susan,Anderson,druiz@example.net,849.474.2527x962,2024-04-14,New Phillipstad,Maryland,India,46-60
CUST0066,Kristina,Jones,jessica97@example.org,(529)647-1680x1026,2024-07-10,Lake Marymouth,New York,India,46-60
CUST0067,Bruce,Carter,jeffery34@example.com,(234)325-2795,2025-02-21,North Wendy,Oregon,India,26-35
CUST0068,Benjamin,Moore,samanthahamilton@example.com,7256635097,2025-10-31,West Michael,Florida,India,36-45
CUST0069,Bobby,Rojas,ritterjessica@example.com,+1-204-984-5878x081,2025-08-09,South Elizabethshire,Arkansas,India,46-60
CUST0070,Kristina,Ellis,brianmiller@example.com,(344)742-7749x54645,2025-05-11,East Gregory,Minnesota,India,18-25
CUST0071,Jeffery,Whitney,jilljackson@example.org,(213)605-3739x813,2025-12-09,Port Michelle,Florida,India,36-45
CUST0072,Robert,Myers,brianolsen@example.net,001-709-938-2144x44841,2024-05-02,Loriport,Iowa,India,18-25
CUST0073,Keith,Williams,jennifer30@example.org,(925)869-5319,2024-07-11,Ingramborough,Montana,India,18-25
CUST0074,Aaron,Petty,mark63@example.net,9575136361,2025-08-30,New Christina,North Dakota,India,26-35
CUST0075,Heather,Brown,lori15@example.org,219.512.1291,2023-01-29,North Markport,Arizona,India,36-45
CUST0076,Stuart,Frederick,larsonnicole@example.com,859-256-1519x06990,2024-07-02,New Shirleyville,Nebraska,India,60+
CUST0077,Janet,Jones,hsmith@example.org,(952)420-9971x8435,2025-04-21,West Coreyport,New Mexico,India,36-45
CUST0078,James,Graham,michaelfarmer@example.net,+1-726-329-3369x60185,2023-01-20,Lake John,Nebraska,India,46-60
CUST0079,Carlos,Nichols,samantha71@example.com,9454545404,2023-01-27,Terriside,North Carolina,India,18-25
CUST0080,Kimberly,Medina,whitemeghan@example.net,560.836.6799x512,2024-12-04,Gutierrezfurt,Colorado,India,60+
CUST0081,Andrea,Lee,robert95@example.net,(875)382-0878,2024-06-12,North Thomas,West Virginia,India,46-60
CUST0082,Jonathan,Navarro,ginahill@example.org,645.526.6109,2025-10-29,Roseview,New Mexico,India,26-35
CUST0083,Tiffany,Warner,alisonhayes@example.org,(766)387-7826,2024-01-20,Larryton,Idaho,India,60+
CUST0084,Lauren,Willis,alexander78@example.net,939.633.5959x645,2024-04-09,Port Richardland,Massachusetts,India,46-60
CUST0085,Justin,Bradford,sarahsutton@example.net,485-715-4888,2023-08-03,Marieshire,Alabama,India,60+
CUST0086,Julie,Shelton,loriroy@example.net,620-223-4805x44020,2025-03-19,Marvinland,Pennsylvania,India,26-35
CUST0087,Heidi,Taylor,ogarcia@example.net,(450)479-3884,2023-04-20,Brandyton,Arizona,India,26-35
CUST0088,Nathan,Hudson,sheila20@example.net,358.813.6018,2025-11-30,Wattstown,Kansas,India,18-25
CUST0089,Matthew,Barrett,kim13@example.com,001-621-552-6554x352,2025-03-22,New Jeffreyburgh,Idaho,India,18-25
CUST0090,Thomas,Duke,garciaanthony@example.org,898.756.0695x917,2024-11-20,Samanthabury,Ohio,India,36-45
CUST0091,Chad,Gomez,sjackson@example.com,+1-459-877-5930x4992,2025-01-23,South Christian,Maine,India,46-60
CUST0092,William,Hill,williamsjessica@example.com,541-422-9929x591,2025-12-06,Lake Jasonmouth,Minnesota,India,60+
CUST0093,Patrick,Calderon,vdonaldson@example.net,512.394.8042x185,2024-10-14,Laurafurt,Utah,India,26-35
CUST0094,Andrew,Callahan,washingtonwilliam@example.net,703.941.9388x47443,2023-10-13,Allenshire,Texas,India,46-60
CUST0095,Amy,Ochoa,mitchell69@example.org,771.935.8689,2025-08-26,North Robertport,Illinois,India,36-45
CUST0096,Phillip,Bradshaw,james16@example.org,9969901836,2025-08-22,South Marvin,Georgia,India,18-25
CUST0097,Charles,Reynolds,castillopatrick@example.net,+1-732-735-2060x0076,2023-11-16,Katherineburgh,North Carolina,India,36-45
CUST0098,Dawn,Gomez,michael11@example.org,001-208-298-2896x9689,2023-01-07,Jackton,Rhode Island,India,60+
CUST0099,John,Franco,voneal@example.org,7245125262,2024-07-13,Port Joshua,Idaho,India,46-60
CUST0100,Julie,Smith,amy99@example.com,(801)313-8731,2023-02-16,North David,Alabama,India,18-25
CUST0101,Faith,Kelly,jonesanna@example.net,001-897-245-1412x274,2023-04-02,Guerraburgh,South Dakota,India,36-45
CUST0102,Suzanne,Davis,russellmorrow@example.org,255.626.4927x64396,2025-08-06,Millerville,Maine,India,60+
CUST0103,Joshua,Le,vcarson@example.com,001-290-480-2371x5416,2024-04-15,Lake Williammouth,Indiana,India,18-25
CUST0104,Erin,Garcia,jay64@example.net,(939)813-4892x467,2024-02-07,East Alyssa,North Carolina,India,46-60
CUST0105,Joshua,Brown,naguilar@example.net,621.292.8930x68221,2023-12-27,East Yvonne,Alaska,India,46-60
CUST0106,Trevor,Hoffman,jorgemullen@example.com,754-790-9300x73622,2025-02-05,Sarahton,Georgia,India,26-35
CUST0107,Lisa,Rice,enelson@example.com,+1-792-359-4164x4410,2024-11-12,Lake Rita,Delaware,India,18-25
CUST0108,Thomas,Murray,vflores@example.com,+1-754-962-7869x62136,2025-05-30,Haydenstad,Nebraska,India,18-25
CUST0109,Misty,Harvey,chelsea46@example.org,771-409-2295,2023-07-04,New Peter,Illinois,India,26-35
CUST0110,Brian,Jordan,stevenkane@example.org,(370)437-5720x304,2025-11-14,Woodport,Florida,India,36-45
CUST0111,Justin,Murphy,darrylturner@example.org,271-573-5338x2977,2025-03-18,Holmesland,Michigan,India,18-25
CUST0112,Anthony,Jones,travispotts@example.org,3174138934,2025-01-16,Christianhaven,South Dakota,India,46-60
CUST0113,Nicholas,Jensen,corey15@example.org,+1-477-857-6786,2023-05-03,Richardland,Missouri,India,60+
CUST0114,Madeline,Smith,virginia74@example.com,001-905-680-1959x8717,2025-01-18,Westland,New Jersey,India,60+
CUST0115,Lauren,Mcpherson,tonimorrison@example.net,(716)763-1051,2025-12-03,East Marcusfort,Missouri,India,26-35
CUST0116,Lindsey,Richards,glucas@example.org,625-811-0761x449,2024-04-22,Barberchester,Delaware,India,26-35
CUST0117,Pamela,Perez,hamiltonamy@example.org,001-863-373-3013x413,2023-12-25,Strongtown,Iowa,India,36-45
CUST0118,Barbara,Rhodes,carrie72@example.net,385.403.0845x9677,2025-03-11,South Richardville,Vermont,India,18-25
CUST0119,Robert,Walker,cbutler@example.net,(273)439-3619,2023-05-11,Richardville,Maine,India,26-35
CUST0120,Calvin,Johnson,vmorris@example.com,(935)233-6177,2025-07-22,Lake Brittanychester,Idaho,India,36-45
CUST0121,Jose,Buchanan,ublake@example.org,+1-973-858-2348x793,2025-12-02,West Ashley,New Hampshire,India,18-25
CUST0122,Austin,Stein,josephmarcus@example.org,001-888-473-7950x6299,2024-05-21,Patrickhaven,Maryland,India,46-60
CUST0123,Joe,Miles,tbrown@example.com,001-515-762-3402x3964,2023-07-10,East Ericamouth,Minnesota,India,18-25
CUST0124,Bradley,Reyes,clarence63@example.org,435-838-3298x1174,2023-01-29,Franklinchester,Missouri,India,18-25
CUST0125,Lisa,Hernandez,eduardomoody@example.org,373-317-4730,2025-07-03,Markborough,Illinois,India,26-35
CUST0126,Brittany,Thomas,deborahhall@example.net,395-673-4334x52869,2024-11-13,Danielleview,Maine,India,18-25
CUST0127,Kellie,Martin,christine27@example.com,675.269.8604x418,2025-06-21,Zacharyburgh,Texas,India,60+
CUST0128,Jeremy,Moore,stacey66@example.org,457.788.1568x7078,2024-10-04,North Rebecca,Virginia,India,46-60
CUST0129,Sherry,Thomas,joshua10@example.com,2463280524,2023-03-28,South Garrettport,North Dakota,India,36-45
CUST0130,Andrew,Carpenter,xburton@example.org,588.203.1655x494,2024-01-16,Robinsonmouth,Connecticut,India,18-25
CUST0131,Daniel,Carlson,poolemarcus@example.com,905-526-9491x69640,2024-02-06,Romerochester,Wyoming,India,18-25
CUST0132,Jennifer,Joseph,nicholas07@example.com,+1-403-986-8918x86363,2023-02-08,South Justin,Maryland,India,26-35
CUST0133,Kathleen,Miller,abigaillopez@example.net,001-525-470-4024,2025-09-21,Curtisshire,Wisconsin,India,60+
CUST0134,Adam,Thomas,duffyscott@example.com,526.332.2457,2025-05-06,West Carolyn,Tennessee,India,60+
CUST0135,Jeffery,Mills,allen27@example.net,251-317-5203x5758,2023-03-19,Yangchester,Florida,India,26-35
CUST0136,James,Bonilla,joshualevy@example.net,+1-791-892-6124x2349,2025-04-19,Christineland,Idaho,India,26-35
CUST0137,Alexis,Phillips,lori12@example.net,858.461.9945x0637,2024-05-26,North Laura,New Mexico,India,36-45
CUST0138,Rachel,Walker,jefferymatthews@example.net,322.386.7373,2023-07-07,Leahton,Illinois,India,18-25
CUST0139,Mary,Martin,annaalvarado@example.com,942-667-3355,2025-11-27,Batesmouth,New York,India,46-60
CUST0140,Richard,Perkins,mbarron@example.org,806-523-6109x034,2023-06-05,Markmouth,Massachusetts,India,18-25
CUST0141,Mikayla,Santiago,sandra50@example.org,200.406.5565,2024-06-02,Annfurt,Nebraska,India,26-35
CUST0142,Joseph,Kennedy,pricetonya@example.com,311-716-1585,2025-06-27,New Josephberg,Arizona,India,26-35
CUST0143,Kayla,Taylor,bryantamanda@example.org,948-906-3757x0348,2023-03-18,Robertberg,Vermont,India,18-25
CUST0144,Dennis,Gonzalez,zyoung@example.net,8953175570,2024-03-14,East Heather,Arizona,India,60+
CUST0145,Lisa,Hess,tlopez@example.net,(899)201-2069,2024-05-25,Dixonville,Mississippi,India,36-45
CUST0146,Nathaniel,Harris,brownbianca@example.com,4485543812,2025-03-08,South David,Nevada,India,26-35
CUST0147,Paige,Carroll,jhayes@example.com,570.773.8264x0775,2025-02-21,New Tonifort,Connecticut,India,60+
CUST0148,Alison,Morales,dennislawrence@example.org,(355)707-0141x951,2024-10-03,Farrellfort,Pennsylvania,India,18-25
CUST0149,Lee,Johnson,christine31@example.net,(287)259-0778x156,2024-09-13,Armstrongville,West Virginia,India,26-35
CUST0150,Stephanie,Harvey,kelli30@example.net,(351)827-6180x7939,2023-09-27,Kristinaberg,Indiana,India,26-35
CUST0151,Hayley,Humphrey,christina84@example.org,001-721-509-8982,2023-05-06,West Sheila,Rhode Island,India,36-45
CUST0152,Jose,Watson,michael72@example.org,(877)763-5209,2024-02-08,North Matthew,Michigan,India,18-25
CUST0153,Sue,Smith,twoods@example.org,558.551.8303x3103,2025-02-09,Jillshire,New Jersey,India,18-25
CUST0154,Jody,Love,rlucero@example.net,+1-209-756-6044x18604,2025-12-01,West Robertshire,Alabama,India,26-35
CUST0155,Phyllis,Porter,jeffwilliams@example.net,(413)607-5868,2025-11-21,East Jessica,New Hampshire,India,46-60
CUST0156,Peter,Lambert,danieltaylor@example.com,+1-298-579-6768x357,2024-09-29,East Robert,New Hampshire,India,26-35
CUST0157,Christopher,Bender,leah49@example.net,001-755-538-6602,2024-04-16,Port Josephhaven,Hawaii,India,36-45
CUST0158,Brian,Robinson,laura59@example.com,499-804-9858x79127,2023-08-11,Michaelville,Indiana,India,18-25
CUST0159,Michael,Foster,andersonveronica@example.org,+1-574-705-8748x94430,2025-10-27,Peterburgh,Oklahoma,India,36-45
CUST0160,Courtney,Anderson,ramirezkatherine@example.net,+1-481-372-0863x222,2023-06-18,Howardburgh,Minnesota,India,18-25
CUST0161,Paige,Thomas,jball@example.org,(499)913-3927x4968,2023-12-19,Katherineland,Nevada,India,36-45
CUST0162,Lindsey,Wagner,james14@example.net,534-500-2988,2024-11-21,South William,Virginia,India,26-35
CUST0163,Brandon,Hogan,turnerjames@example.net,+1-876-319-7365x038,2025-06-29,Gonzalezfurt,Kentucky,India,36-45
CUST0164,Nancy,Martin,terri65@example.net,(240)238-2016x84056,2024-01-09,East Matthew,Maine,India,60+
CUST0165,Jessica,Watson,browndana@example.com,(394)695-3884x15560,2023-04-06,Audreyberg,South Dakota,India,36-45
CUST0166,Ashley,Franco,grantgarcia@example.net,+1-495-358-1542x50713,2024-11-12,Ericberg,Louisiana,India,60+
CUST0167,Arthur,Mendez,richard75@example.com,649-448-8542,2025-06-29,Lake Alexandrafurt,Louisiana,India,18-25
CUST0168,Christina,Zimmerman,vcox@example.net,708-210-9045x23875,2023-10-17,Gilbertmouth,Maine,India,26-35
CUST0169,Paul,Neal,toni05@example.com,+1-470-675-1781x93126,2024-11-16,Calvinville,Virginia,India,26-35
CUST0170,Michelle,Moore,brendan33@example.net,283.258.9510x9512,2024-10-07,East Kathrynview,South Carolina,India,36-45
CUST0171,Veronica,Rosario,beth90@example.net,407.560.4859x66954,2024-05-28,Lake Jacobberg,Michigan,India,18-25
CUST0172,Brent,Roach,nrichard@example.org,+1-393-764-2717x362,2023-11-11,Andrewborough,Iowa,India,46-60
CUST0173,Kathleen,Barker,sarah96@example.com,477-206-7029x0949,2024-02-07,New Keith,Oklahoma,India,60+
CUST0174,Thomas,Kelly,reillychristopher@example.org,256.614.2213x46394,2024-03-28,Rachaelside,Massachusetts,India,60+
CUST0175,Michael,Williams,jonathanpatterson@example.net,889.898.6424,2024-12-22,Edwardschester,Alabama,India,60+
CUST0176,Matthew,Elliott,xsmith@example.com,+1-424-215-7784x136,2025-09-27,Joneston,North Carolina,India,36-45
CUST0177,Sara,King,robertwoods@example.net,+1-542-931-5759x57516,2024-10-25,Toddhaven,North Carolina,India,26-35
CUST0178,Jason,Meza,powelltiffany@example.com,001-649-687-7544x2874,2025-04-30,Christopherport,Delaware,India,26-35
CUST0179,Lisa,Schultz,tcooper@example.com,(537)717-6834x044,2023-08-10,Rachelville,North Dakota,India,36-45
CUST0180,Jacob,Richards,jeremyhughes@example.com,001-985-892-4757,2024-12-09,East John,Hawaii,India,26-35
CUST0181,Christopher,Whitaker,amy05@example.com,612-600-9631x89869,2025-05-13,Port Adam,South Carolina,India,46-60
CUST0182,Gordon,Smith,vhernandez@example.org,(472)796-5123x17518,2024-12-10,Micheleburgh,Louisiana,India,60+
CUST0183,April,Bridges,wardheather@example.net,+1-387-334-6497x7327,2023-11-25,Christinemouth,Hawaii,India,18-25
CUST0184,Kenneth,Barron,jenniferbenson@example.org,721-369-7064x46546,2025-04-28,Port Louis,Nebraska,India,18-25
CUST0185,Paul,Miller,vmurillo@example.com,459.640.4476x772,2024-03-25,Blakebury,West Virginia,India,26-35
CUST0186,Edward,Baker,dtucker@example.net,969.824.4887x366,2024-06-19,Pachecostad,Mississippi,India,26-35
CUST0187,Thomas,Hernandez,moorejohn@example.net,2906538596,2025-02-05,Timothytown,Indiana,India,36-45
CUST0188,Amanda,Castro,antonioyoung@example.org,001-984-576-4279x689,2025-09-08,North Laura,West Virginia,India,18-25
CUST0189,Daniel,Hill,carpenterjeff@example.org,001-297-646-8265x4168,2025-04-27,Jenniferfurt,Maryland,India,26-35
CUST0190,Bernard,Smith,qvaughn@example.org,+1-337-783-5600x416,2023-05-25,Martinezstad,Mississippi,India,26-35
CUST0191,Paul,Brandt,eileen71@example.net,+1-721-841-8782,2025-02-03,Chenland,Colorado,India,36-45
CUST0192,Melissa,Franklin,johnsontammy@example.org,001-461-633-9678x9185,2025-01-24,Kimberlychester,Mississippi,India,18-25
CUST0193,Paul,Boyle,jonesbonnie@example.com,(227)218-1403x0195,2024-03-19,Lake Mariaborough,Rhode Island,India,46-60
CUST0194,Desiree,Price,douglasjordan@example.net,+1-217-750-1246x4164,2024-07-02,Wallaceshire,Mississippi,India,26-35
CUST0195,Leah,Mendez,bernardlisa@example.org,5715865267,2025-07-13,New Robertfort,Tennessee,India,46-60
CUST0196,Bobby,Guerrero,chapmankyle@example.com,529-879-5887x48148,2024-01-18,New Gina,Alaska,India,36-45
CUST0197,Kellie,Jefferson,reneesmith@example.com,(872)729-0833x21270,2025-11-07,Lake Heather,Louisiana,India,36-45
CUST0198,Cynthia,Smith,kevingutierrez@example.net,001-915-999-4069x2085,2025-01-02,North Lindaborough,Hawaii,India,18-25
CUST0199,Robin,Morales,mariamcgee@example.org,417.584.1970x9305,2023-06-11,Sullivanberg,Nevada,India,36-45
CUST0200,Hayley,Shaw,luke51@example.com,(306)877-0457x000,2023-09-15,West Juanville,Washington,India,26-35
CUST0201,Linda,Cameron,kerrycurtis@example.org,(526)606-1978,2024-01-06,West Susan,Vermont,India,26-35
CUST0202,Toni,Flores,christopher14@example.org,562.545.2590,2024-06-17,Joemouth,Alaska,India,18-25
CUST0203,Jessica,Moore,lthornton@example.org,+1-699-326-9524x26725,2024-08-20,Javierborough,Pennsylvania,India,60+
CUST0204,Corey,Frazier,acarney@example.net,6869809747,2025-04-07,Swansonberg,Hawaii,India,26-35
CUST0205,Paul,Bates,stevenholland@example.net,+1-337-318-9325x000,2023-09-18,East Jacobchester,Montana,India,36-45
CUST0206,Aaron,Hale,mcleanrita@example.org,618-465-9040,2024-10-03,Lake John,Tennessee,India,26-35
CUST0207,Juan,Moore,robert52@example.net,563.231.2633,2023-03-18,Jeffersonshire,Ohio,India,26-35
CUST0208,Taylor,Salas,hunter57@example.com,(999)752-3304,2024-01-23,Bradleyborough,Tennessee,India,46-60
CUST0209,Sara,Bowen,wadams@example.net,456.745.8729x42468,2025-07-15,Port Christopher,Alabama,India,26-35
CUST0210,Sandra,Mills,nmarsh@example.net,258.451.8406,2023-03-30,Rhondastad,Pennsylvania,India,26-35
CUST0211,Brian,Berry,brewermichael@example.com,838.654.8775x097,2023-08-26,South Randystad,Louisiana,India,36-45
CUST0212,Loretta,Pitts,gnavarro@example.com,(702)788-1473,2024-08-30,East Sherri,Arkansas,India,60+
CUST0213,Jeffrey,Ray,pthomas@example.net,+1-581-559-5547x1265,2022-12-30,Gregoryland,Hawaii,India,46-60
CUST0214,James,Perkins,laurensmith@example.net,+1-423-238-0906x6040,2025-10-18,Shaneton,Indiana,India,18-25
CUST0215,Jason,Daniels,harperjeff@example.net,247-882-9411x0395,2024-06-11,Williamsshire,Rhode Island,India,60+
CUST0216,John,Reilly,arusso@example.net,+1-844-297-9410x846,2023-11-30,Derekbury,New York,India,46-60
CUST0217,Paul,Bates,seth56@example.net,9802188234,2023-04-03,Ernesthaven,Wisconsin,India,60+
CUST0218,Angela,Wilson,bennetttravis@example.org,962.895.2624x7426,2023-04-20,Burkeborough,Nevada,India,60+
CUST0219,Brett,Kerr,christopher10@example.net,773.244.3307,2024-03-16,South Colleen,Indiana,India,36-45
CUST0220,Jared,Miller,emily48@example.org,001-559-664-5046,2024-07-11,New Markmouth,Montana,India,36-45
CUST0221,Mark,Rogers,josephhunter@example.net,540-652-3474,2023-09-29,Lake Austin,Minnesota,India,46-60
CUST0222,Beth,Hall,allisoncaldwell@example.org,305.605.4292,2023-07-29,Francischester,Vermont,India,46-60
CUST0223,David,Moore,xcampos@example.com,318.375.4519,2023-04-13,Woodardville,Idaho,India,60+
CUST0224,Glenn,Gordon,nathanpage@example.com,330-824-6779x2645,2024-12-05,West Craigport,Massachusetts,India,36-45
CUST0225,Corey,Walker,kevin30@example.com,361.494.4129x05337,2024-11-02,New David,Florida,India,18-25
CUST0226,Donald,Martin,jonathan24@example.org,279-610-2757,2025-08-19,Montgomeryshire,Texas,India,26-35
CUST0227,James,Atkinson,paulabenton@example.com,848-441-7268x176,2025-10-24,Jamesport,Texas,India,60+
CUST0228,Taylor,Roberson,xschwartz@example.com,608.964.4017x2300,2023-09-21,Alexisburgh,Connecticut,India,46-60
CUST0229,Elizabeth,Mckee,michelle40@example.com,615.387.5174,2025-10-13,Thompsonville,Mississippi,India,26-35
CUST0230,Paul,Gonzalez,nward@example.net,001-269-308-5813x97204,2025-02-03,North Keithburgh,Illinois,India,18-25
CUST0231,Alicia,Tran,rwhite@example.net,+1-290-320-1737x2034,2025-05-16,West Miguelstad,Montana,India,18-25
CUST0232,Allison,Wiggins,luke21@example.org,001-405-380-2730x96092,2023-06-15,Codyview,Vermont,India,46-60
CUST0233,Jessica,Zavala,calderonaustin@example.org,+1-203-468-5540x266,2023-08-07,Jamestown,Utah,India,18-25
CUST0234,Mark,Cisneros,ubutler@example.com,001-704-685-5465,2024-01-16,Lake Brianna,North Dakota,India,36-45
